parcelid,zipcode,airconditioningtypeid,bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedbathnbr,yearbuilt,taxvaluedollarcnt,latitude,longitude,formatted.address,pred_tax_value
10711738,91304,1,3,4,4,3,1978,567112,34.220381,-118.620802,"8329 Faust Ave, Canoga Park, CA 91304, USA",559585
10711755,91304,1,3,3,4,3,1959,459844,34.22204,-118.62224,"8374 Maynard Ave, Canoga Park, CA 91304, USA",331792
10711805,91304,1,2,3,4,2,1973,384787,34.220427,-118.618549,"8333 Kentland Ave, West Hills, CA 91304, USA",538992
10711816,91304,1,2,4,4,2,1973,437176,34.22239,-118.618631,"8389 Kentland Ave, West Hills, CA 91304, USA",388624
10711858,91304,1,2,4,4,2,1973,382055,34.222544,-118.617961,"8394 Kentland Ave, West Hills, CA 91304, USA",263280
10711910,91304,,2,3,4,2,1960,76860,34.221864,-118.615739,"8374 Sausalito Ave, West Hills, CA 91304, USA",221183
10712086,91304,1,2,4,4,2,1974,384120,34.226039,-118.618527,"22559 Napa St, Canoga Park, CA 91304, USA",250539
10712162,91304,1,3,3,4,3,1964,695000,34.226833,-118.612917,"8560 Rudnick Ave, West Hills, CA 91304, USA",899924
10712163,91304,1,3,4,4,3,1962,618279,34.226843,-118.612422,"8563 Moorcroft Ave, West Hills, CA 91304, USA",539697
10712195,91304,1,3,3,4,3,1961,475000,34.223689,-118.612746,"22261 Chase St, Canoga Park, CA 91304, USA",361199
10712316,91304,1,4,4,4,4,1963,589149,34.228487,-118.61061,"8632 Farralone Ave, West Hills, CA 91304, USA",729052
10712345,91304,1,3,4,4,3,1966,123582,34.230301,-118.611987,"8788 Moorcroft Ave, Canoga Park, CA 91304, USA",639661
10712375,91304,1,2,4,4,2,1970,394473,34.231941,-118.610002,"8876 Moorcroft Ave, West Hills, CA 91304, USA",543965
10712391,91304,1,4,4,4,4,1979,750000,34.231673,-118.610168,"22159 Rayen St, West Hills, CA 91304, USA",788847
10712648,91304,1,3,3,4,3,1963,125077,34.220457,-118.632545,"8331 Woodlake Ave, Canoga Park, CA 91304, USA",622470
10712667,91304,,2,3,4,2,1963,649784,34.221329,-118.633007,"8344 Natalie Ln, West Hills, CA 91304, USA",391015
10712693,91304,1,3,4,4,3,1967,383410,34.222805,-118.632395,"8417 Denise Ln, West Hills, CA 91304, USA",455212
10712739,91304,1,2,4,4,2,1963,243866,34.221868,-118.632989,"8354 Natalie Ln, West Hills, CA 91304, USA",350693
10712766,91304,1,3,3,4,3,1967,339186,34.223731,-118.633166,"8451 Denise Ln, Canoga Park, CA 91304, USA",406323
10712798,91304,1,2,4,4,2,1963,586300,34.221609,-118.635601,"23327 Natalie Ln, West Hills, CA 91304, USA",453804
10712818,91304,1,3,4,4,3,1963,332322,34.220576,-118.637119,"23411 Schoenborn St, West Hills, CA 91304, USA",548454
10712916,91304,,2,4,4,2,1964,122312,34.219425,-118.641223,"8301 Hillary Dr, West Hills, CA 91304, USA",356547
10712919,91304,1,3,4,4,3,1964,635000,34.219434,-118.641979,"23620 Nadir St, West Hills, CA 91304, USA",447260
10713921,91304,,2,3,4,2,1958,210348,34.222098,-118.613493,"22300 Hackney St, Canoga Park, CA 91304, USA",347298
10713956,91304,,3,4,4,3,1959,98480,34.223208,-118.611436,"8435 Farralone Ave, Canoga Park, CA 91304, USA",481999
10714158,91304,1,3,4,7,3,1973,477978,34.230886,-118.602171,"8834 Topanga Canyon Blvd, Canoga Park, CA 91304, USA",553141
10714215,91304,,2,4,4,2,1960,90125,34.227651,-118.607854,"22056 Parthenia St, West Hills, CA 91304, USA",207325
10714236,91304,1,2,3,4,2,1963,739484,34.22836,-118.60973,"22160 Parthenia St, West Hills, CA 91304, USA",456380
10714293,91304,,3,4,4,3,1960,86647,34.224636,-118.606848,"22022 Malden St, Canoga Park, CA 91304, USA",462427
10714320,91304,,3,4,4,3,1960,605000,34.225361,-118.608778,"8544 Nevada Ave, West Hills, CA 91304, USA",575224
10714370,91304,,2,4,4,2,1960,240866,34.223884,-118.609435,"8501 Nevada Ave, Canoga Park, CA 91304, USA",395354
